BENE_ID,FRONTEND_USER_NAME,FRONTEND_USER_PASSWORD,total_claim_count,total_claim_line_count,carrier_claim_count,carrier_claim_line_count,inpatient_claim_count,inpatient_claim_line_count,partd_event_count,
20140000001827,BBUser21826,PW21826!,592,635,32,75,0,0,560,
20140000004807,BBUser24806,PW24806!,510,591,58,139,0,0,452,
20140000005499,BBUser25498,PW25498!,509,568,44,77,2,28,463,
20140000004547,BBUser24546,PW24546!,503,524,29,50,0,0,474,
20140000008953,BBUser28952,PW28952!,474,509,29,64,0,0,445,
20140000000183,BBUser20182,PW20182!,452,517,31,96,0,0,421,
20140000006105,BBUser26104,PW26104!,445,532,63,150,0,0,382,
20140000005798,BBUser25797,PW25797!,439,473,61,95,0,0,378,
20140000002450,BBUser22449,PW22449!,426,488,47,109,0,0,379,
20140000004691,BBUser24690,PW24690!,426,457,26,57,0,0,400,
20140000003736,BBUser23735,PW23735!,413,464,55,106,0,0,358,
20140000001913,BBUser21912,PW21912!,408,483,53,128,0,0,355,
20140000001920,BBUser21919,PW21919!,405,499,69,146,1,18,335,
20140000002123,BBUser22122,PW22122!,398,458,43,103,0,0,355,
20140000003809,BBUser23808,PW23808!,392,410,37,55,0,0,355,
20140000004538,BBUser24537,PW24537!,392,477,43,97,2,33,347,
20140000003790,BBUser23789,PW23789!,390,421,40,71,0,0,350,
20140000004926,BBUser24925,PW24925!,383,448,37,102,0,0,346,
20140000001130,BBUser21129,PW21129!,382,437,63,118,0,0,319,
20140000002769,BBUser22768,PW22768!,378,410,31,63,0,0,347,
20140000000740,BBUser20739,PW20739!,377,424,41,88,0,0,336,
20140000004835,BBUser24834,PW24834!,377,398,16,37,0,0,361,
20140000008204,BBUser28203,PW28203!,374,384,19,29,0,0,355,
20140000000370,BBUser20369,PW20369!,372,424,55,107,0,0,317,
20140000005342,BBUser25341,PW25341!,372,391,33,52,0,0,339,
20140000005936,BBUser25935,PW25935!,371,449,58,136,0,0,313,
20140000005089,BBUser25088,PW25088!,370,375,20,25,0,0,350,
20140000003553,BBUser23552,PW23552!,366,411,56,101,0,0,310,
20140000005987,BBUser25986,PW25986!,364,423,65,124,0,0,299,
20140000002068,BBUser22067,PW22067!,362,378,38,54,0,0,324,
20140000005224,BBUser25223,PW25223!,360,379,20,39,0,0,340,
20140000006324,BBUser26323,PW26323!,357,372,26,41,0,0,331,
20140000008780,BBUser28779,PW28779!,355,415,57,117,0,0,298,
20140000008919,BBUser28918,PW28918!,355,426,45,103,1,14,309,
20140000001930,BBUser21929,PW21929!,353,379,37,63,0,0,316,
20140000003625,BBUser23624,PW23624!,353,409,51,107,0,0,302,
20140000007432,BBUser27431,PW27431!,353,361,27,35,0,0,326,
20140000000300,BBUser20299,PW20299!,352,407,45,100,0,0,307,
20140000003811,BBUser23810,PW23810!,351,391,40,66,1,15,310,
20140000000852,BBUser20851,PW20851!,350,434,51,135,0,0,299,
20140000003332,BBUser23331,PW23331!,350,389,27,51,1,16,322,
20140000000466,BBUser20465,PW20465!,345,382,40,77,0,0,305,
20140000000698,BBUser20697,PW20697!,343,375,36,54,1,15,306,
20140000002649,BBUser22648,PW22648!,340,390,31,81,0,0,309,
20140000005466,BBUser25465,PW25465!,339,394,48,103,0,0,291,
20140000003116,BBUser23115,PW23115!,338,362,35,59,0,0,303,
20140000005840,BBUser25839,PW25839!,337,439,62,164,0,0,275,
20140000002994,BBUser22993,PW22993!,335,396,32,93,0,0,303,
20140000004481,BBUser24480,PW24480!,335,401,34,100,0,0,301,
20140000007475,BBUser27474,PW27474!,335,343,7,15,0,0,328,
20140000007877,BBUser27876,PW27876!,335,406,54,115,1,11,280,
20140000000430,BBUser20429,PW20429!,333,382,58,107,0,0,275,
20140000001413,BBUser21412,PW21412!,333,339,19,25,0,0,314,
20140000002070,BBUser22069,PW22069!,333,351,14,32,0,0,319,
20140000003449,BBUser23448,PW23448!,330,346,17,33,0,0,313,
20140000000697,BBUser20696,PW20696!,327,384,52,109,0,0,275,
20140000008588,BBUser28587,PW28587!,325,362,28,65,0,0,297,
20140000003368,BBUser23367,PW23367!,324,346,50,72,0,0,274,
20140000005363,BBUser25362,PW25362!,320,376,43,99,0,0,277,
20140000002142,BBUser22141,PW22141!,319,342,50,73,0,0,269,
20140000007309,BBUser27308,PW27308!,319,378,23,64,1,19,295,
20140000006690,BBUser26689,PW26689!,315,359,52,96,0,0,263,
20140000001456,BBUser21455,PW21455!,314,349,32,67,0,0,282,
20140000007032,BBUser27031,PW27031!,313,338,40,65,0,0,273,
20140000003086,BBUser23085,PW23085!,312,359,59,106,0,0,253,
20140000004644,BBUser24643,PW24643!,312,383,53,124,0,0,259,
20140000005186,BBUser25185,PW25185!,312,334,38,60,0,0,274,
20140000000872,BBUser20871,PW20871!,310,346,25,61,0,0,285,
20140000001847,BBUser21846,PW21846!,310,389,54,133,0,0,256,
20140000007167,BBUser27166,PW27166!,307,352,43,88,0,0,264,
20140000000398,BBUser20397,PW20397!,303,409,32,47,7,98,264,
20140000000735,BBUser20734,PW20734!,303,340,47,84,0,0,256,
20140000004120,BBUser24119,PW24119!,303,387,53,118,2,21,248,
20140000006551,BBUser26550,PW26550!,303,353,41,91,0,0,262,
20140000000467,BBUser20466,PW20466!,302,355,62,115,0,0,240,
20140000005065,BBUser25064,PW25064!,302,364,36,98,0,0,266,
20140000002254,BBUser22253,PW22253!,301,338,55,92,0,0,246,
20140000006171,BBUser26170,PW26170!,300,318,41,59,0,0,259,
20140000001094,BBUser21093,PW21093!,299,384,48,133,0,0,251,
20140000005871,BBUser25870,PW25870!,299,329,29,59,0,0,270,
20140000009846,BBUser29845,PW29845!,299,322,42,65,0,0,257,
20140000004197,BBUser24196,PW24196!,298,327,31,60,0,0,267,
20140000000026,BBUser20025,PW20025!,295,326,42,73,0,0,253,
20140000002454,BBUser22453,PW22453!,295,330,38,73,0,0,257,
20140000008756,BBUser28755,PW28755!,295,315,27,47,0,0,268,
20140000009328,BBUser29327,PW29327!,294,331,39,76,0,0,255,
20140000000282,BBUser20281,PW20281!,293,320,37,64,0,0,256,
20140000000311,BBUser20310,PW20310!,293,329,46,82,0,0,247,
20140000000564,BBUser20563,PW20563!,293,390,60,157,0,0,233,
20140000008023,BBUser28022,PW28022!,293,307,18,32,0,0,275,
20140000009314,BBUser29313,PW29313!,291,302,20,31,0,0,271,
20140000000522,BBUser20521,PW20521!,289,323,50,84,0,0,239,
20140000003425,BBUser23424,PW23424!,289,331,39,81,0,0,250,
20140000000050,BBUser20049,PW20049!,288,350,44,106,0,0,244,
20140000001012,BBUser21011,PW21011!,287,344,55,112,0,0,232,
20140000005799,BBUser25798,PW25798!,287,300,17,30,0,0,270,
